717292563;Martinez Hernandez, Alitzel Daniela;24/08/2003;16;CL 144 C # 141 A - 51;11;10;true
717291888;Martinez Moran, Paula;19/01/2009;11;CL 65 # 112 A - 39;10;5;false
717292593;Martinez Pati–o, Saraha;15/02/2004;16;KR 8 C # 163 B - 20;1;9;true
717291903;Mas Andres, Virginia Maria;06/09/2008;11;KR 18 A # 187 - 67;1;6;false
717291918;Menendez Gutierrez, Guillermo;27/08/2008;11;KR 43 # 70 A - 50 SUR;19;5;true
717292608;Menez Due–as, Angel;16/10/2003;16;KR 19 A BIS # 1 C - 55;14;10;false
717291933;Nicieza Fernandez, Victor;26/11/2007;12;CL 59 I SUR # 44 A - 02;19;6;true
717292623;Noriega Lozano, Alexia Jazmin;19/05/2003;16;KR 93 A # 42 A - 37 SUR;8;10;false
717292638;Ocampo Rogel Kathia Lucero;11/06/2003;16;CL 111 A BIS SUR # 4 A - 41 ESTE;5;10;true
717292653;Oliveros Tapia, Edna Rocio;21/06/2003;16;KR 2 A # 74 B BIS - 00 SUR;5;10;false
717291948;Ornosa Miravalles, Pedro;30/09/2007;12;CL 92 SUR # 2 - 43;5;6;false
717291963;Ortega Moro, Oriol;27/07/2007;12;AK 116 # 22 I - 56;9;6;true
717291978;Perez Fernandez, Fabian;10/03/2008;12;CL 14 SUR # 28 - 06;15;6;false
717291993;Perez Gutierrez, Fernando;13/03/2008;12;KR 1 # 36 H - 12 SUR MJ;4;6;true
717291543;Puerto Montenegro Diana Alejandra;15/02/2011;9;CL 62 SUR # 19 B - 42;19;4;false
717292008;Quevedo Alvare, Maria;18/10/2007;12;KR 11 ESTE # 1 A - 85;3;6;true
717292668;Ramirez Pastrana, Laiza Janeth;15/12/2003;16;KM 8 VIA SAN JUAN DE SUMAPAZ;5;11;true
717292683;Ramos Osorio, Ignacio;25/12/2003;16;KR 78 G # 38 C - 11 SUR;8;10;false
717292698;Reyes Valdez, Daniela;21/04/2003;16;CL 1 H # 40 D - 13;16;10;true
717292713;Reza Uriostegui, Joselin;12/10/2002;17;CL 32 SUR # 24 B - 20;18;11;true
717292023;Rodriguez Alonso, David;29/10/2007;12;KR 51 A # 26 - 38 SUR;16;5;false
717292038;Rodriguez Pelaez, Borja;23/01/2008;12;DG 47 SUR # 19 B - 19;6;6;false
717292053;Rodriguez Rodriguez, Javier;10/11/2007;12;CL 59 B SUR # 87 B - 02;7;6;true
717292728;Roman Hernandez, Luz Dary;06/08/2002;17;CL 26 SUR # 17 D - 11 ESTE;4;11;false
717292743;Roman Lopez, Victoria Lizeth;08/05/2003;16;CL 78 A SUR # 17 F - 26;19;11;true
717292068;Rosal Fraga, Joaquin;23/08/2007;12;CL 52 A SUR # 87 D - 45;7;6;true
717292083;Ruiz G—mez, Miriam;26/01/2008;12;KR 1 BIS B ESTE # 73 B - 97 SUR;5;6;true
717292758;Ruiz Hinojosa, Yacaranday;18/02/2004;16;KR 45 C # 69 D - 15 SUR;19;11;true
717292098;Saenz Suarez, Hector Miguel;09/10/2007;12;CL 37 SUR # 23 - 51;18;6;true
717292113;Serrano Fernandez, alvaro;21/02/2007;13;CL 104 SUR # 1 B - 08;5;7;true
717292773;Serrano Martinez, Mayletd Araceli;10/02/2003;17;CL 51 SUR # 91 D - 56;7;11;true
717292788;Silva Arciniega, Guadalupe Saori;12/05/2002;17;CL 40 A SUR # 2 - 56 ESTE;4;11;true
717292128;Torrecillas Reig, Ram—n;21/11/2006;13;KR 5 C ESTE # 98 A - 55;2;7;true
717292143;Villa Carro, Mario;30/12/2006;13;CL 76 SUR # 24 A - 11;19;7;true
717292158;Zapico alvarez, Jorge;27/11/2006;13;CL 14 A # 108 - 78;9;6;true

